Group,WoP,Date,Time start,Number of Calls WITHIN,Call Type 1,Call Type 2,Context 1,Context 2,Number of Calls OUTSIDE,Eagle,Non-Alarm,unknown
R5,57,11/04/2013,13:21,1,Pop,Snake chirps,Calls from another monkey species,,,0,1,0
R5,57,11/04/2013,16:35,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/05/2013,07:38,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/05/2013,08:01,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/05/2013,11:32,2,Pop,Snake chirps,IGE,,,0,1,0
R5,57,11/05/2013,11:56,2,Pop,Pop,IGE,IGE,1,0,1,0
R5,57,11/05/2013,12:13,1,Pop,,IGE,,,0,1,0
R5,57,11/06/2013,11:05,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/06/2013,12:02,3,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/06/2013,12:07,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/06/2013,16:30,1,Pop,,Calls from another mammal,,,0,1,0
R5,57,11/06/2013,17:30,2,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/07/2013,13:43,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/07/2013,14:41,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/07/2013,16:44,2,Pop,Snake chirps,Tree/branch fall,,,0,1,0
R5,57,11/08/2013,09:48,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,57,11/08/2013,12:01,1,Pop,,Calls from another monkey species,,,0,1,0
R5,57,11/08/2013,13:49,2,Pop,,Tree/branch fall,,,0,1,0
R5,57,11/08/2013,14:51,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/18/2013,14:32,2,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,58,11/18/2013,15:50,2,Pop,,Tree/branch fall,,,0,1,0
R5,58,11/19/2013,08:38,2,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,58,11/19/2013,08:45,2,Pop,Ka-train,Eagle alarm,,,1,0,0
R5,58,11/19/2013,11:41,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/20/2013,08:39,2,Pop,Snake chirps,Calls from another monkey species,,,0,1,0
R5,58,11/20/2013,10:57,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/20/2013,11:50,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,58,11/20/2013,14:15,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/20/2013,15:42,1,Pop,Ka-train,Calls from another monkey species,,,1,0,0
R5,58,11/20/2013,16:12,3,Pop,Pop,IGE,IGE,2,0,1,0
R5,58,11/20/2013,16:17,2,Pop,Snake chirps,IGE,IGE,1,0,1,0
R5,58,11/20/2013,16:19,1,Pop,Pop,Calls from another redtail group,IGE,1,0,1,0
R5,58,11/21/2013,08:52,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/21/2013,11:53,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/21/2013,12:01,2,Pop,Ka-train,Calls from a bird,,,1,0,0
R5,58,11/21/2013,13:19,2,Pop,Snake chirps,IGE,,,0,1,0
R5,58,11/21/2013,13:30,1,Pop,Pop,IGE,IGE,2,0,1,0
R5,58,11/21/2013,13:36,1,Pop,Ka-train,IGE,IGE,1,1,0,0
R5,58,11/21/2013,15:33,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/21/2013,15:49,3,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/21/2013,16:49,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/22/2013,07:12,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/22/2013,07:21,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/22/2013,09:16,2,Pop,,Eagle alarm,,,1,0,0
R5,58,11/22/2013,10:51,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,58,11/22/2013,14:24,2,Pop,Snake chirps,Tree/branch fall,,,0,1,0
R5,58,11/22/2013,16:38,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/22/2013,17:26,2,Pop,,Calls from another mammal,,,0,1,0
R5,58,11/23/2013,08:37,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/23/2013,09:33,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/23/2013,11:37,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/23/2013,16:38,1,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,58,11/23/2013,17:39,3,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/24/2013,09:46,2,Pop,Ka-train,Tree/branch fall,,,0,1,0
R5,58,11/24/2013,10:57,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/24/2013,11:57,4,Pop,Snake chirps,Calls from a bird,,,0,1,0
R5,58,11/24/2013,11:59,3,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,58,11/24/2013,12:00,4,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/24/2013,15:33,2,Pop,Ka-train,Eagle alarm,,,1,0,0
R5,58,11/24/2013,16:41,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/24/2013,18:17,2,Pop,Snake chirps,Tree/branch fall,,,0,1,0
R5,58,11/25/2013,09:13,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/25/2013,09:18,1,Pop,Snake chirps,Calls from another monkey species,,,0,1,0
R5,58,11/25/2013,11:23,2,Pop,,Tree/branch fall,,,0,1,0
R5,58,11/25/2013,12:11,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/25/2013,16:55,3,Pop,Snake chirps,Eagle alarm,,,1,0,0
R5,58,11/25/2013,17:03,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/25/2013,17:44,2,Pop,,Calls from another mammal,,,0,1,0
R5,58,11/26/2013,07:25,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/26/2013,08:43,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/26/2013,08:57,2,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/26/2013,10:33,1,Pop,,Calls from another monkey species,,,0,1,0
R5,58,11/26/2013,13:40,1,Pop,Snake chirps,Calls from another mammal,,,0,1,0
